plasmid,replicate,virus,dilution,uL_virus,RLU_per_well,date,date_rescued,cell_type
,rep1,Delta_G446V,0.0015625,0.15625,1870,12-Nov-21,25-Oct-21,293T-ACE2-TMPRSS2
,rep1,Delta_G446V,0.00078125,0.078125,1532,12-Nov-21,25-Oct-21,293T-ACE2-TMPRSS2
,rep2,Delta_G446V,0.1,10,375691,12-Nov-21,25-Oct-21,293T-ACE2-TMPRSS2
,rep2,Delta_G446V,0.05,5,171852,12-Nov-21,25-Oct-21,293T-ACE2-TMPRSS2
,rep2,Delta_G446V,0.025,2.5,82468,12-Nov-21,25-Oct-21,293T-ACE2-TMPRSS2
,rep2,Delta_G446V,0.0125,1.25,39621,12-Nov-21,25-Oct-21,293T-ACE2-TMPRSS2
,rep2,Delta_G446V,0.00625,0.625,14735,12-Nov-21,25-Oct-21,293T-ACE2-TMPRSS2
,rep2,Delta_G446V,0.003125,0.3125,10163,12-Nov-21,25-Oct-21,293T-ACE2-TMPRSS2
,rep2,Delta_G446V,0.0015625,0.15625,6738,12-Nov-21,25-Oct-21,293T-ACE2-TMPRSS2
,rep2,Delta_G446V,0.00078125,0.078125,698,12-Nov-21,25-Oct-21,293T-ACE2-TMPRSS2
,rep1,Delta_S494L,0.1,10,226877,12-Nov-21,25-Oct-21,293T-ACE2-TMPRSS2
,rep1,Delta_S494L,0.05,5,116630,12-Nov-21,25-Oct-21,293T-ACE2-TMPRSS2
,rep1,Delta_S494L,0.025,2.5,50076,12-Nov-21,25-Oct-21,293T-ACE2-TMPRSS2
,rep1,Delta_S494L,0.0125,1.25,28110,12-Nov-21,25-Oct-21,293T-ACE2-TMPRSS2
,rep1,Delta_S494L,0.00625,0.625,13698,12-Nov-21,25-Oct-21,293T-ACE2-TMPRSS2
,rep1,Delta_S494L,0.003125,0.3125,7857,12-Nov-21,25-Oct-21,293T-ACE2-TMPRSS2
,rep1,Delta_S494L,0.0015625,0.15625,2862,12-Nov-21,25-Oct-21,293T-ACE2-TMPRSS2
,rep1,Delta_S494L,0.00078125,0.078125,1089,12-Nov-21,25-Oct-21,293T-ACE2-TMPRSS2
,rep2,Delta_S494L,0.1,10,296460,12-Nov-21,25-Oct-21,293T-ACE2-TMPRSS2
,rep2,Delta_S494L,0.05,5,127407,12-Nov-21,25-Oct-21,293T-ACE2-TMPRSS2
,rep2,Delta_S494L,0.025,2.5,53488,12-Nov-21,25-Oct-21,293T-ACE2-TMPRSS2
,rep2,Delta_S494L,0.0125,1.25,25658,12-Nov-21,25-Oct-21,293T-ACE2-TMPRSS2
,rep2,Delta_S494L,0.00625,0.625,13313,12-Nov-21,25-Oct-21,293T-ACE2-TMPRSS2
,rep2,Delta_S494L,0.003125,0.3125,9034,12-Nov-21,25-Oct-21,293T-ACE2-TMPRSS2
,rep2,Delta_S494L,0.0015625,0.15625,5360,12-Nov-21,25-Oct-21,293T-ACE2-TMPRSS2
,rep2,Delta_S494L,0.00078125,0.078125,3215,12-Nov-21,25-Oct-21,293T-ACE2-TMPRSS2
,rep1,Delta_WT,0.1,10,471610,12-Nov-21,15-Oct-21,293T-ACE2-TMPRSS2
,rep1,Delta_WT,0.05,5,155667,12-Nov-21,15-Oct-21,293T-ACE2-TMPRSS2
,rep1,Delta_WT,0.025,2.5,86042,12-Nov-21,15-Oct-21,293T-ACE2-TMPRSS2
,rep1,Delta_WT,0.0125,1.25,41601,12-Nov-21,15-Oct-21,293T-ACE2-TMPRSS2
,rep1,Delta_WT,0.00625,0.625,14679,12-Nov-21,15-Oct-21,293T-ACE2-TMPRSS2
,rep1,Delta_WT,0.003125,0.3125,8420,12-Nov-21,15-Oct-21,293T-ACE2-TMPRSS2
,rep1,Delta_WT,0.0015625,0.15625,470,12-Nov-21,15-Oct-21,293T-ACE2-TMPRSS2
,rep1,Delta_WT,0.00078125,0.078125,405,12-Nov-21,15-Oct-21,293T-ACE2-TMPRSS2
,rep2,Delta_WT,0.1,10,430428,12-Nov-21,15-Oct-21,293T-ACE2-TMPRSS2
,rep2,Delta_WT,0.05,5,153433,12-Nov-21,15-Oct-21,293T-ACE2-TMPRSS2
,rep2,Delta_WT,0.025,2.5,101126,12-Nov-21,15-Oct-21,293T-ACE2-TMPRSS2
,rep2,Delta_WT,0.0125,1.25,36663,12-Nov-21,15-Oct-21,293T-ACE2-TMPRSS2
,rep2,Delta_WT,0.00625,0.625,15797,12-Nov-21,15-Oct-21,293T-ACE2-TMPRSS2
,rep2,Delta_WT,0.003125,0.3125,4580,12-Nov-21,15-Oct-21,293T-ACE2-TMPRSS2
,rep2,Delta_WT,0.0015625,0.15625,2778,12-Nov-21,15-Oct-21,293T-ACE2-TMPRSS2
,rep2,Delta_WT,0.00078125,0.078125,2868,12-Nov-21,15-Oct-21,293T-ACE2-TMPRSS2
